Anno,Società,Fonte_CDA,Nome,Cognome,Sesso,Ruolo,Tipologia_carica,Tipologia,Quota Comune di Bergamo,Fonte_quote_tip_part
2022,a2a SpA,https://www.a2a.eu/it/governance/consiglio-amministrazione,Marco,Patuano,M,Presidente,1,Partecipata,"1,002",https://www.comune.bergamo.it/index.php/unita-organizzativa/societ%C3%A0-partecipate
2022,a2a SpA,https://www.a2a.eu/it/governance/consiglio-amministrazione,Giovanni,Comboni,M,Vice presidente,2,Partecipata,"1,002",https://www.comune.bergamo.it/index.php/unita-organizzativa/societ%C3%A0-partecipate
2022,a2a SpA,https://www.a2a.eu/it/governance/consiglio-amministrazione,Renato,Mazzoncini,M,Amministratore Delegato e Direttore Generale,1,Partecipata,"1,002",https://www.comune.bergamo.it/index.php/unita-organizzativa/societ%C3%A0-partecipate
2022,a2a SpA,https://www.a2a.eu/it/governance/consiglio-amministrazione,Christine,Perrotti,F,Membro CDA,2,Partecipata,"1,002",https://www.comune.bergamo.it/index.php/unita-organizzativa/societ%C3%A0-partecipate
2022,a2a SpA,https://www.a2a.eu/it/governance/consiglio-amministrazione,Fabio,Lavini,M,Membro CDA,2,Partecipata,"1,002",https://www.comune.bergamo.it/index.php/unita-organizzativa/societ%C3%A0-partecipate
2022,a2a SpA,https://www.a2a.eu/it/governance/consiglio-amministrazione,Federico Maurizio,d'Andrea,M,Membro CDA,2,Partecipata,"1,002",https://www.comune.bergamo.it/index.php/unita-organizzativa/societ%C3%A0-partecipate
2022,a2a SpA,https://www.a2a.eu/it/governance/consiglio-amministrazione,Gaudiana,Giusti,F,Membro CDA,2,Partecipata,"1,002",https://www.comune.bergamo.it/index.php/unita-organizzativa/societ%C3%A0-partecipate
2022,a2a SpA,https://www.a2a.eu/it/governance/consiglio-amministrazione,Luigi,De Paoli,M,Membro CDA,2,Partecipata,"1,002",https://www.comune.bergamo.it/index.php/unita-organizzativa/societ%C3%A0-partecipate
2022,a2a SpA,https://www.a2a.eu/it/governance/consiglio-amministrazione,Maria Grazia,Speranza,F,Membro CDA,2,Partecipata,"1,002",https://www.comune.bergamo.it/index.php/unita-organizzativa/societ%C3%A0-partecipate
2022,a2a SpA,https://www.a2a.eu/it/governance/consiglio-amministrazione,Secondina Giulia,Ravera,F,Membro CDA,2,Partecipata,"1,002",https://www.comune.bergamo.it/index.php/unita-organizzativa/societ%C3%A0-partecipate
2022,a2a SpA,https://www.a2a.eu/it/governance/consiglio-amministrazione,Stefania,Bariatti,F,Membro CDA,2,Partecipata,"1,002",https://www.comune.bergamo.it/index.php/unita-organizzativa/societ%C3%A0-partecipate
2022,a2a SpA,https://www.a2a.eu/it/governance/consiglio-amministrazione,Vincenzo,Cariello,M,Membro CDA,2,Partecipata,"1,002",https://www.comune.bergamo.it/index.php/unita-organizzativa/societ%C3%A0-partecipate
2022,Agenzia per lo sviluppo e la promozione turistica della Provincia di Bergamo SCrl,https://www.visitbergamo.net/it/turismo-bergamo/#administration,Giorgio,Beltrami,M,Presidente,1,Partecipata,"9,14",https://www.comune.bergamo.it/index.php/unita-organizzativa/societ%C3%A0-partecipate
2022,Agenzia per lo sviluppo e la promozione turistica della Provincia di Bergamo SCrl,https://www.visitbergamo.net/it/turismo-bergamo/#administration,Christophe,Hubert Sanchez,M,Amministratore Delegato,1,Partecipata,"9,14",https://www.comune.bergamo.it/index.php/unita-organizzativa/societ%C3%A0-partecipate
2022,Agenzia per lo sviluppo e la promozione turistica della Provincia di Bergamo SCrl,https://www.visitbergamo.net/it/turismo-bergamo/#administration,Claudio,Bolandrini,M,Consigliere,2,Partecipata,"9,14",https://www.comune.bergamo.it/index.php/unita-organizzativa/societ%C3%A0-partecipate
2022,Agenzia per lo sviluppo e la promozione turistica della Provincia di Bergamo SCrl,https://www.visitbergamo.net/it/turismo-bergamo/#administration,Leonarda,Canfarelli,F,Consigliere,2,Partecipata,"9,14",https://www.comune.bergamo.it/index.php/unita-organizzativa/societ%C3%A0-partecipate
2022,Agenzia per lo sviluppo e la promozione turistica della Provincia di Bergamo SCrl,https://www.visitbergamo.net/it/turismo-bergamo/#administration,Desirée,Cividini,F,Consigliere,2,Partecipata,"9,14",https://www.comune.bergamo.it/index.php/unita-organizzativa/societ%C3%A0-partecipate
2022,Comune di Bergamo,https://www.comune.bergamo.it/struttura-organizzativa,Elena,Todeschini,F,Dirigente,2,,,
2022,Comune di Bergamo,https://www.comune.bergamo.it/struttura-organizzativa,Gaspare,Passanante,M,Dirigente,2,,,
2022,Comune di Bergamo,https://www.comune.bergamo.it/struttura-organizzativa,Giovanni,Cappelluzzo,M,Dirigente,2,,,
2022,Comune di Bergamo,https://www.comune.bergamo.it/struttura-organizzativa,Corrado,Viscardi,M,Dirigente,2,,,
2022,Comune di Bergamo,https://www.comune.bergamo.it/struttura-organizzativa,Silvano,Armellini,M,Dirigente,2,,,
2022,Comune di Bergamo,https://www.comune.bergamo.it/struttura-organizzativa,Alessandro,Francioni,M,Dirigente,2,,,
2022,Comune di Bergamo,https://www.comune.bergamo.it/struttura-organizzativa,Michele,Bertola,M,Direttore Generale,1,,,
2022,Comune di Bergamo,https://www.comune.bergamo.it/struttura-organizzativa,Dario,Tadè,M,Dirigente,2,,,
2022,Comune di Bergamo,https://www.comune.bergamo.it/struttura-organizzativa,Pietro,San Martino,M,Dirigente,2,,,
2022,Comune di Bergamo,https://www.comune.bergamo.it/struttura-organizzativa,Vito,Gritti,M,Dirigente,2,,,
2022,Comune di Bergamo,https://www.comune.bergamo.it/struttura-organizzativa,Massimo,Chizzolini,M,Dirigente,2,,,
2022,Comune di Bergamo,https://www.comune.bergamo.it/struttura-organizzativa,Giorgio,Cavagnis,M,Dirigente,2,,,
2022,Comune di Bergamo,https://www.comune.bergamo.it/struttura-organizzativa,Gabriella,Messina,F,Dirigente,2,,,
2022,Comune di Bergamo,https://www.comune.bergamo.it/struttura-organizzativa,Edoardo,Maria Zanotta,M,Dirigente,2,,,
